wkt_geom,sid,objectid,c28992r100,inw2014,i2014_014,i2014_1524,i2014_2544,i2014_4564,i2014_65pl,p_auto2014,p_wal2014,p_nwal2014,won2012,wozwon2012,i2014_1564,Disable
"Polygon ((98000.0000000037252903 439800.0000000037252903, 98100.0000000037252903 439800.0000000037252903, 98100.0000000037252903 439700.0000000037252903, 98000.0000000037252903 439700.0000000037252903, 98000.0000000037252903 439800.0000000037252903))",369452,369452,E0980N4397,165,30,25,60,45,5,40% tot 60%,8% tot 15%,25% tot 45%,70,154,130,0
"Polygon ((98100.0000000037252903 439800.0000000037252903, 98200 439800.0000000037252903, 98200 439700.0000000037252903, 98100.0000000037252903 439700.0000000037252903, 98100.0000000037252903 439800.0000000037252903))",369453,369453,E0981N4397,130,20,20,30,45,15,60% tot 75%,8% tot 15%,10% tot 25%,55,175,95,1
"Polygon ((98200 439800.0000000037252903, 98300 439800.0000000037252903, 98300 439700.0000000037252903, 98200 439700.0000000037252903, 98200 439800.0000000037252903))",369454,369454,E0982N4397,130,25,15,35,40,15,40% tot 60%,15% tot 25%,25% tot 45%,60,142,90,1
"Polygon ((98300 439800.0000000037252903, 98400.0000000037252903 439800.0000000037252903, 98400.0000000037252903 439700.0000000037252903, 98300 439700.0000000037252903, 98300 439800.0000000037252903))",369455,369455,E0983N4397,105,20,15,20,35,20,40% tot 60%,8% tot 15%,25% tot 45%,45,172,70,1
"Polygon ((98400.0000000037252903 439800.0000000037252903, 98500.0000000074505806 439800.0000000037252903, 98500.0000000074505806 439700.0000000037252903, 98400.0000000037252903 439700.0000000037252903, 98400.0000000037252903 439800.0000000037252903))",369456,369456,E0984N4397,115,30,10,35,30,15,60% tot 75%,8% tot 15%,25% tot 45%,50,169,75,1
"Polygon ((98500.0000000074505806 439800.0000000037252903, 98600 439800.0000000037252903, 98600 439700.0000000037252903, 98500.0000000074505806 439700.0000000037252903, 98500.0000000074505806 439800.0000000037252903))",369457,369457,E0985N4397,95,15,10,25,30,15,60% tot 75%,8% tot 15%,10% tot 25%,40,205,65,1
"Polygon ((98600 439800.0000000037252903, 98700.0000000037252903 439800.0000000037252903, 98700.0000000037252903 439700.0000000037252903, 98600 439700.0000000037252903, 98600 439800.0000000037252903))",369458,369458,E0986N4397,95,5,15,25,35,15,75% tot 90%,minder dan 8%,minder dan 10%,60,151,75,1
"Polygon ((98700.0000000037252903 439800.0000000037252903, 98800.0000000037252903 439800.0000000037252903, 98800.0000000037252903 439700.0000000037252903, 98700.0000000037252903 439700.0000000037252903, 98700.0000000037252903 439800.0000000037252903))",369459,369459,E0987N4397,55,5,5,10,20,10,75% tot 90%,minder dan 8%,10% tot 25%,20,214,35,1
"Polygon ((98800.0000000037252903 439800.0000000037252903, 98900 439800.0000000037252903, 98900 439700.0000000037252903, 98800.0000000037252903 439700.0000000037252903, 98800.0000000037252903 439800.0000000037252903))",369460,369460,E0988N4397,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((98900 439800.0000000037252903, 99000 439800.0000000037252903, 99000 439700.0000000037252903, 98900 439700.0000000037252903, 98900 439800.0000000037252903))",369461,369461,E0989N4397,5,0,0,0,5,0,geheim,geheim,geheim,0,-99997,5,2
"Polygon ((99000 439800.0000000037252903, 99100.0000000037252903 439800.0000000037252903, 99100.0000000037252903 439700.0000000037252903, 99000 439700.0000000037252903, 99000 439800.0000000037252903))",369462,369462,E0990N4397,25,0,0,5,15,5,75% tot 90%,15% tot 25%,geen nw. allochtoon,15,230,20,9
"Polygon ((100100 439800.0000000037252903, 100200.0000000037252903 439800.0000000037252903, 100200.0000000037252903 439700.0000000037252903, 100100 439700.0000000037252903, 100100 439800.0000000037252903))",369463,369463,E1001N4397,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,1
"Polygon ((84800 439700.0000000037252903, 84900.0000000037252903 439700.0000000037252903, 84900.0000000037252903 439600.0000000074505806, 84800 439600.0000000074505806, 84800 439700.0000000037252903))",369840,369840,E0848N4396,170,35,10,60,40,30,75% tot 90%,8% tot 15%,10% tot 25%,90,156,110,0
"Polygon ((84900.0000000037252903 439700.0000000037252903, 85000.0000000037252903 439700.0000000037252903, 85000.0000000037252903 439600.0000000074505806, 84900.0000000037252903 439600.0000000074505806, 84900.0000000037252903 439700.0000000037252903))",369841,369841,E0849N4396,65,10,5,20,20,10,75% tot 90%,minder dan 8%,10% tot 25%,30,190,45,1
"Polygon ((85000.0000000037252903 439700.0000000037252903, 85100 439700.0000000037252903, 85100 439600.0000000074505806, 85000.0000000037252903 439600.0000000074505806, 85000.0000000037252903 439700.0000000037252903))",369842,369842,E0850N4396,60,10,5,30,10,5,75% tot 90%,geen w. allochtoon,10% tot 25%,30,154,45,1
"Polygon ((85100 439700.0000000037252903, 85200 439700.0000000037252903, 85200 439600.0000000074505806, 85100 439600.0000000074505806, 85100 439700.0000000037252903))",369843,369843,E0851N4396,30,5,0,5,5,10,90% of meer,minder dan 8%,geen nw. allochtoon,10,-99997,10,19
"Polygon ((85200 439700.0000000037252903, 85300.0000000037252903 439700.0000000037252903, 85300.0000000037252903 439600.0000000074505806, 85200 439600.0000000074505806, 85200 439700.0000000037252903))",369844,369844,E0852N4396,65,10,15,5,25,10,75% tot 90%,8% tot 15%,geen nw. allochtoon,20,358,45,0
"Polygon ((85400.0000000037252903 439700.0000000037252903, 85500 439700.0000000037252903, 85500 439600.0000000074505806, 85400.0000000037252903 439600.0000000074505806, 85400.0000000037252903 439700.0000000037252903))",369845,369845,E0854N4396,145,15,30,15,75,5,90% of meer,8% tot 15%,minder dan 10%,50,278,120,1
"Polygon ((85500 439700.0000000037252903, 85600 439700.0000000037252903, 85600 439600.0000000074505806, 85500 439600.0000000074505806, 85500 439700.0000000037252903))",369846,369846,E0855N4396,115,15,15,25,55,10,75% tot 90%,8% tot 15%,10% tot 25%,45,302,95,1
"Polygon ((85600 439700.0000000037252903, 85700.0000000037252903 439700.0000000037252903, 85700.0000000037252903 439600.0000000074505806, 85600 439600.0000000074505806, 85600 439700.0000000037252903))",369847,369847,E0856N4396,55,10,5,15,20,5,90% of meer,minder dan 8%,geen nw. allochtoon,20,328,40,0
"Polygon ((85700.0000000037252903 439700.0000000037252903, 85800 439700.0000000037252903, 85800 439600.0000000074505806, 85700.0000000037252903 439600.0000000074505806, 85700.0000000037252903 439700.0000000037252903))",369848,369848,E0857N4396,125,25,25,25,45,5,75% tot 90%,minder dan 8%,minder dan 10%,35,253,95,1
"Polygon ((85800 439700.0000000037252903, 85900 439700.0000000037252903, 85900 439600.0000000074505806, 85800 439600.0000000074505806, 85800 439700.0000000037252903))",369849,369849,E0858N4396,150,25,25,30,60,5,75% tot 90%,minder dan 8%,minder dan 10%,50,235,115,1
"Polygon ((85900 439700.0000000037252903, 86000.0000000037252903 439700.0000000037252903, 86000.0000000037252903 439600.0000000074505806, 85900 439600.0000000074505806, 85900 439700.0000000037252903))",369850,369850,E0859N4396,80,10,10,10,35,10,90% of meer,minder dan 8%,geen nw. allochtoon,30,309,55,0
"Polygon ((86000.0000000037252903 439700.0000000037252903, 86100.0000000037252903 439700.0000000037252903, 86100.0000000037252903 439600.0000000074505806, 86000.0000000037252903 439600.0000000074505806, 86000.0000000037252903 439700.0000000037252903))",369851,369851,E0860N4396,35,5,10,5,15,0,60% tot 75%,8% tot 15%,10% tot 25%,10,295,30,11
"Polygon ((86100.0000000037252903 439700.0000000037252903, 86200 439700.0000000037252903, 86200 439600.0000000074505806, 86100.0000000037252903 439600.0000000074505806, 86100.0000000037252903 439700.0000000037252903))",369852,369852,E0861N4396,70,10,15,15,30,0,75% tot 90%,minder dan 8%,10% tot 25%,25,305,60,0
"Polygon ((86200 439700.0000000037252903, 86300 439700.0000000037252903, 86300 439600.0000000074505806, 86200 439600.0000000074505806, 86200 439700.0000000037252903))",369853,369853,E0862N4396,70,25,5,20,20,0,75% tot 90%,8% tot 15%,minder dan 10%,20,283,45,0
"Polygon ((86400.0000000037252903 439700.0000000037252903, 86500.0000000037252903 439700.0000000037252903, 86500.0000000037252903 439600.0000000074505806, 86400.0000000037252903 439600.0000000074505806, 86400.0000000037252903 439700.0000000037252903))",369854,369854,E0864N4396,10,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,9
"Polygon ((86600 439700.0000000037252903, 86700 439700.0000000037252903, 86700 439600.0000000074505806, 86600 439600.0000000074505806, 86600 439700.0000000037252903))",369855,369855,E0866N4396,25,5,5,0,10,5,90% of meer,minder dan 8%,geen nw. allochtoon,10,370,15,12
"Polygon ((86700 439700.0000000037252903, 86800.0000000037252903 439700.0000000037252903, 86800.0000000037252903 439600.0000000074505806, 86700 439600.0000000074505806, 86700 439700.0000000037252903))",369856,369856,E0867N4396,10,0,5,0,5,0,geheim,geheim,geheim,5,194,10,9
"Polygon ((87000 439700.0000000037252903, 87100.0000000037252903 439700.0000000037252903, 87100.0000000037252903 439600.0000000074505806, 87000 439600.0000000074505806, 87000 439700.0000000037252903))",369857,369857,E0870N4396,0,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,0
"Polygon ((87200.0000000037252903 439700.0000000037252903, 87300 439700.0000000037252903, 87300 439600.0000000074505806, 87200.0000000037252903 439600.0000000074505806, 87200.0000000037252903 439700.0000000037252903))",369858,369858,E0872N4396,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
"Polygon ((88500 439700.0000000037252903, 88600.0000000037252903 439700.0000000037252903, 88600.0000000037252903 439600.0000000074505806, 88500 439600.0000000074505806, 88500 439700.0000000037252903))",369859,369859,E0885N4396,25,0,5,5,10,5,60% tot 75%,25% tot 45%,minder dan 10%,15,315,20,4
"Polygon ((88600.0000000037252903 439700.0000000037252903, 88700 439700.0000000037252903, 88700 439600.0000000074505806, 88600.0000000037252903 439600.0000000074505806, 88600.0000000037252903 439700.0000000037252903))",369860,369860,E0886N4396,75,15,5,30,15,10,75% tot 90%,8% tot 15%,10% tot 25%,35,181,50,1
"Polygon ((88700 439700.0000000037252903, 88800 439700.0000000037252903, 88800 439600.0000000074505806, 88700 439600.0000000074505806, 88700 439700.0000000037252903))",369861,369861,E0887N4396,125,15,20,25,45,20,75% tot 90%,8% tot 15%,10% tot 25%,55,159,90,0
"Polygon ((88800 439700.0000000037252903, 88900.0000000037252903 439700.0000000037252903, 88900.0000000037252903 439600.0000000074505806, 88800 439600.0000000074505806, 88800 439700.0000000037252903))",369862,369862,E0888N4396,70,5,5,20,20,20,60% tot 75%,8% tot 15%,10% tot 25%,45,129,45,1
"Polygon ((88900.0000000037252903 439700.0000000037252903, 89000.0000000037252903 439700.0000000037252903, 89000.0000000037252903 439600.0000000074505806, 88900.0000000037252903 439600.0000000074505806, 88900.0000000037252903 439700.0000000037252903))",369863,369863,E0889N4396,15,0,5,10,0,0,40% tot 60%,15% tot 25%,25% tot 45%,10,99,15,1
"Polygon ((89000.0000000037252903 439700.0000000037252903, 89100 439700.0000000037252903, 89100 439600.0000000074505806, 89000.0000000037252903 439600.0000000074505806, 89000.0000000037252903 439700.0000000037252903))",369864,369864,E0890N4396,55,10,5,20,10,5,minder dan 40%,8% tot 15%,45% tot 67%,30,104,35,1
"Polygon ((89200 439700.0000000037252903, 89300.0000000037252903 439700.0000000037252903, 89300.0000000037252903 439600.0000000074505806, 89200 439600.0000000074505806, 89200 439700.0000000037252903))",369865,369865,E0892N4396,65,10,5,15,15,20,75% tot 90%,minder dan 8%,10% tot 25%,30,196,35,1
"Polygon ((89300.0000000037252903 439700.0000000037252903, 89400.0000000037252903 439700.0000000037252903, 89400.0000000037252903 439600.0000000074505806, 89300.0000000037252903 439600.0000000074505806, 89300.0000000037252903 439700.0000000037252903))",369866,369866,E0893N4396,100,10,15,25,40,15,90% of meer,minder dan 8%,geen nw. allochtoon,50,177,80,0
"Polygon ((89400.0000000037252903 439700.0000000037252903, 89500 439700.0000000037252903, 89500 439600.0000000074505806, 89400.0000000037252903 439600.0000000074505806, 89400.0000000037252903 439700.0000000037252903))",369867,369867,E0894N4396,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((90200 439700.0000000037252903, 90300 439700.0000000037252903, 90300 439600.0000000074505806, 90200 439600.0000000074505806, 90200 439700.0000000037252903))",369868,369868,E0902N4396,0,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,0
"Polygon ((90900 439700.0000000037252903, 91000 439700.0000000037252903, 91000 439600.0000000074505806, 90900 439600.0000000074505806, 90900 439700.0000000037252903))",369869,369869,E0909N4396,165,0,0,0,0,160,75% tot 90%,8% tot 15%,minder dan 10%,-99998,-99998,0,0
"Polygon ((91900.0000000037252903 439700.0000000037252903, 92000 439700.0000000037252903, 92000 439600.0000000074505806, 91900.0000000037252903 439600.0000000074505806, 91900.0000000037252903 439700.0000000037252903))",369870,369870,E0919N4396,65,15,5,25,15,5,60% tot 75%,minder dan 8%,10% tot 25%,25,194,45,1
"Polygon ((92000 439700.0000000037252903, 92100 439700.0000000037252903, 92100 439600.0000000074505806, 92000 439600.0000000074505806, 92000 439700.0000000037252903))",369871,369871,E0920N4396,10,0,10,5,0,0,40% tot 60%,25% tot 45%,10% tot 25%,0,-99997,15,9
"Polygon ((92200.0000000037252903 439700.0000000037252903, 92300.0000000037252903 439700.0000000037252903, 92300.0000000037252903 439600.0000000074505806, 92200.0000000037252903 439600.0000000074505806, 92200.0000000037252903 439700.0000000037252903))",369872,369872,E0922N4396,45,5,10,15,20,0,75% tot 90%,15% tot 25%,minder dan 10%,25,157,45,19
"Polygon ((92300.0000000037252903 439700.0000000037252903, 92400 439700.0000000037252903, 92400 439600.0000000074505806, 92300.0000000037252903 439600.0000000074505806, 92300.0000000037252903 439700.0000000037252903))",369873,369873,E0923N4396,30,0,5,5,15,5,40% tot 60%,minder dan 8%,45% tot 67%,15,-99997,25,4
"Polygon ((93100 439700.0000000037252903, 93200 439700.0000000037252903, 93200 439600.0000000074505806, 93100 439600.0000000074505806, 93100 439700.0000000037252903))",369874,369874,E0931N4396,0,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,0
"Polygon ((93500 439700.0000000037252903, 93600 439700.0000000037252903, 93600 439600.0000000074505806, 93500 439600.0000000074505806, 93500 439700.0000000037252903))",369875,369875,E0935N4396,0,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,0
"Polygon ((96400 439700.0000000037252903, 96500 439700.0000000037252903, 96500 439600.0000000074505806, 96400 439600.0000000074505806, 96400 439700.0000000037252903))",369876,369876,E0964N4396,50,5,10,15,20,0,60% tot 75%,8% tot 15%,10% tot 25%,20,231,45,27
"Polygon ((96500 439700.0000000037252903, 96600.0000000037252903 439700.0000000037252903, 96600.0000000037252903 439600.0000000074505806, 96500 439600.0000000074505806, 96500 439700.0000000037252903))",369877,369877,E0965N4396,85,15,10,20,25,10,60% tot 75%,8% tot 15%,25% tot 45%,30,214,55,1
"Polygon ((96600.0000000037252903 439700.0000000037252903, 96700 439700.0000000037252903, 96700 439600.0000000074505806, 96600.0000000037252903 439600.0000000074505806, 96600.0000000037252903 439700.0000000037252903))",369878,369878,E0966N4396,90,10,10,45,15,10,60% tot 75%,15% tot 25%,10% tot 25%,50,138,70,0
"Polygon ((96700 439700.0000000037252903, 96800 439700.0000000037252903, 96800 439600.0000000074505806, 96700 439600.0000000074505806, 96700 439700.0000000037252903))",369879,369879,E0967N4396,120,15,15,60,20,10,60% tot 75%,8% tot 15%,10% tot 25%,70,137,95,1
"Polygon ((96800 439700.0000000037252903, 96900.0000000037252903 439700.0000000037252903, 96900.0000000037252903 439600.0000000074505806, 96800 439600.0000000074505806, 96800 439700.0000000037252903))",369880,369880,E0968N4396,15,0,0,5,5,0,60% tot 75%,25% tot 45%,minder dan 10%,10,-99997,10,1
"Polygon ((96900.0000000037252903 439700.0000000037252903, 97000.0000000037252903 439700.0000000037252903, 97000.0000000037252903 439600.0000000074505806, 96900.0000000037252903 439600.0000000074505806, 96900.0000000037252903 439700.0000000037252903))",369881,369881,E0969N4396,85,15,10,35,15,10,60% tot 75%,8% tot 15%,10% tot 25%,45,145,60,1
"Polygon ((97000.0000000037252903 439700.0000000037252903, 97100 439700.0000000037252903, 97100 439600.0000000074505806, 97000.0000000037252903 439600.0000000074505806, 97000.0000000037252903 439700.0000000037252903))",369882,369882,E0970N4396,85,20,5,30,20,15,75% tot 90%,8% tot 15%,minder dan 10%,35,186,55,0
"Polygon ((97100 439700.0000000037252903, 97200 439700.0000000037252903, 97200 439600.0000000074505806, 97100 439600.0000000074505806, 97100 439700.0000000037252903))",369883,369883,E0971N4396,135,10,70,50,5,0,minder dan 40%,8% tot 15%,45% tot 67%,5,199,125,0
"Polygon ((97200 439700.0000000037252903, 97300.0000000037252903 439700.0000000037252903, 97300.0000000037252903 439600.0000000074505806, 97200 439600.0000000074505806, 97200 439700.0000000037252903))",369884,369884,E0972N4396,180,5,130,40,5,0,40% tot 60%,8% tot 15%,25% tot 45%,5,-99997,175,0
"Polygon ((97600 439700.0000000037252903, 97700.0000000037252903 439700.0000000037252903, 97700.0000000037252903 439600.0000000074505806, 97600 439600.0000000074505806, 97600 439700.0000000037252903))",369885,369885,E0976N4396,0,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,0
"Polygon ((97700.0000000037252903 439700.0000000037252903, 97800 439700.0000000037252903, 97800 439600.0000000074505806, 97700.0000000037252903 439600.0000000074505806, 97700.0000000037252903 439700.0000000037252903))",369886,369886,E0977N4396,10,0,0,5,0,0,geheim,geheim,geheim,10,-99997,5,1
"Polygon ((97800 439700.0000000037252903, 97900 439700.0000000037252903, 97900 439600.0000000074505806, 97800 439600.0000000074505806, 97800 439700.0000000037252903))",369887,369887,E0978N4396,140,15,15,55,40,20,40% tot 60%,minder dan 8%,45% tot 67%,75,136,110,1
"Polygon ((97900 439700.0000000037252903, 98000.0000000037252903 439700.0000000037252903, 98000.0000000037252903 439600.0000000074505806, 97900 439600.0000000074505806, 97900 439700.0000000037252903))",369888,369888,E0979N4396,120,20,25,40,30,5,40% tot 60%,8% tot 15%,45% tot 67%,65,128,95,0
"Polygon ((98000.0000000037252903 439700.0000000037252903, 98100.0000000037252903 439700.0000000037252903, 98100.0000000037252903 439600.0000000074505806, 98000.0000000037252903 439600.0000000074505806, 98000.0000000037252903 439700.0000000037252903))",369889,369889,E0980N4396,130,30,10,40,35,15,60% tot 75%,15% tot 25%,10% tot 25%,50,179,85,0
"Polygon ((98100.0000000037252903 439700.0000000037252903, 98200 439700.0000000037252903, 98200 439600.0000000074505806, 98100.0000000037252903 439600.0000000074505806, 98100.0000000037252903 439700.0000000037252903))",369890,369890,E0981N4396,115,20,5,35,40,10,60% tot 75%,8% tot 15%,10% tot 25%,55,158,80,0
"Polygon ((98200 439700.0000000037252903, 98300 439700.0000000037252903, 98300 439600.0000000074505806, 98200 439600.0000000074505806, 98200 439700.0000000037252903))",369891,369891,E0982N4396,85,15,5,15,30,20,60% tot 75%,8% tot 15%,10% tot 25%,40,172,50,1
"Polygon ((98300 439700.0000000037252903, 98400.0000000037252903 439700.0000000037252903, 98400.0000000037252903 439600.0000000074505806, 98300 439600.0000000074505806, 98300 439700.0000000037252903))",369892,369892,E0983N4396,65,0,10,10,25,25,75% tot 90%,minder dan 8%,10% tot 25%,35,171,45,1
"Polygon ((98400.0000000037252903 439700.0000000037252903, 98500.0000000074505806 439700.0000000037252903, 98500.0000000074505806 439600.0000000074505806, 98400.0000000037252903 439600.0000000074505806, 98400.0000000037252903 439700.0000000037252903))",369893,369893,E0984N4396,135,25,15,40,45,10,60% tot 75%,8% tot 15%,10% tot 25%,55,192,100,0
"Polygon ((98500.0000000074505806 439700.0000000037252903, 98600 439700.0000000037252903, 98600 439600.0000000074505806, 98500.0000000074505806 439600.0000000074505806, 98500.0000000074505806 439700.0000000037252903))",369894,369894,E0985N4396,45,5,5,10,15,10,75% tot 90%,8% tot 15%,minder dan 10%,20,222,30,8
"Polygon ((98600 439700.0000000037252903, 98700.0000000037252903 439700.0000000037252903, 98700.0000000037252903 439600.0000000074505806, 98600 439600.0000000074505806, 98600 439700.0000000037252903))",369895,369895,E0986N4396,20,5,0,5,5,0,60% tot 75%,15% tot 25%,10% tot 25%,10,211,10,15
"Polygon ((99000 439700.0000000037252903, 99100.0000000037252903 439700.0000000037252903, 99100.0000000037252903 439600.0000000074505806, 99000 439600.0000000074505806, 99000 439700.0000000037252903))",369896,369896,E0990N4396,20,5,0,10,5,0,geheim,geheim,geheim,5,187,15,14
"Polygon ((99100.0000000037252903 439700.0000000037252903, 99200.0000000037252903 439700.0000000037252903, 99200.0000000037252903 439600.0000000074505806, 99100.0000000037252903 439600.0000000074505806, 99100.0000000037252903 439700.0000000037252903))",369897,369897,E0991N4396,25,5,0,15,10,0,90% of meer,minder dan 8%,geen nw. allochtoon,15,189,25,5
"Polygon ((100000 439700.0000000037252903, 100100 439700.0000000037252903, 100100 439600.0000000074505806, 100000 439600.0000000074505806, 100000 439700.0000000037252903))",369898,369898,E1000N4396,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((100100 439700.0000000037252903, 100200.0000000037252903 439700.0000000037252903, 100200.0000000037252903 439600.0000000074505806, 100100 439600.0000000074505806, 100100 439700.0000000037252903))",369899,369899,E1001N4396,25,0,0,5,10,5,90% of meer,geen w. allochtoon,minder dan 10%,10,-99997,15,6
"Polygon ((100200.0000000037252903 439700.0000000037252903, 100300.0000000037252903 439700.0000000037252903, 100300.0000000037252903 439600.0000000074505806, 100200.0000000037252903 439600.0000000074505806, 100200.0000000037252903 439700.0000000037252903))",369900,369900,E1002N4396,5,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,1
"Polygon ((84800 439600.0000000074505806, 84900.0000000037252903 439600.0000000074505806, 84900.0000000037252903 439500.0000000074505806, 84800 439500.0000000074505806, 84800 439600.0000000074505806))",370263,370263,E0848N4395,40,5,0,10,10,15,75% tot 90%,minder dan 8%,minder dan 10%,20,205,20,9
"Polygon ((84900.0000000037252903 439600.0000000074505806, 85000.0000000037252903 439600.0000000074505806, 85000.0000000037252903 439500.0000000074505806, 84900.0000000037252903 439500.0000000074505806, 84900.0000000037252903 439600.0000000074505806))",370264,370264,E0849N4395,80,5,10,20,30,15,75% tot 90%,minder dan 8%,minder dan 10%,35,189,60,1
"Polygon ((85000.0000000037252903 439600.0000000074505806, 85100 439600.0000000074505806, 85100 439500.0000000074505806, 85000.0000000037252903 439500.0000000074505806, 85000.0000000037252903 439600.0000000074505806))",370265,370265,E0850N4395,145,25,15,35,45,25,75% tot 90%,15% tot 25%,minder dan 10%,65,170,95,0
"Polygon ((85100 439600.0000000074505806, 85200 439600.0000000074505806, 85200 439500.0000000074505806, 85100 439500.0000000074505806, 85100 439600.0000000074505806))",370266,370266,E0851N4395,150,30,15,40,40,25,75% tot 90%,8% tot 15%,minder dan 10%,60,190,95,1
"Polygon ((85200 439600.0000000074505806, 85300.0000000037252903 439600.0000000074505806, 85300.0000000037252903 439500.0000000074505806, 85200 439500.0000000074505806, 85200 439600.0000000074505806))",370267,370267,E0852N4395,85,10,10,15,30,20,75% tot 90%,minder dan 8%,minder dan 10%,35,182,55,1
"Polygon ((85300.0000000037252903 439600.0000000074505806, 85400.0000000037252903 439600.0000000074505806, 85400.0000000037252903 439500.0000000074505806, 85300.0000000037252903 439500.0000000074505806, 85300.0000000037252903 439600.0000000074505806))",370268,370268,E0853N4395,5,0,0,0,5,0,geheim,geheim,geheim,5,-99997,5,2
"Polygon ((85400.0000000037252903 439600.0000000074505806, 85500 439600.0000000074505806, 85500 439500.0000000074505806, 85400.0000000037252903 439500.0000000074505806, 85400.0000000037252903 439600.0000000074505806))",370269,370269,E0854N4395,15,0,5,0,10,0,90% of meer,geen w. allochtoon,geen nw. allochtoon,5,-99997,15,1
"Polygon ((85500 439600.0000000074505806, 85600 439600.0000000074505806, 85600 439500.0000000074505806, 85500 439500.0000000074505806, 85500 439600.0000000074505806))",370270,370270,E0855N4395,5,0,0,0,0,0,geheim,geheim,geheim,-99998,-99998,0,1
"Polygon ((85600 439600.0000000074505806, 85700.0000000037252903 439600.0000000074505806, 85700.0000000037252903 439500.0000000074505806, 85600 439500.0000000074505806, 85600 439600.0000000074505806))",370271,370271,E0856N4395,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,5
"Polygon ((85700.0000000037252903 439600.0000000074505806, 85800 439600.0000000074505806, 85800 439500.0000000074505806, 85700.0000000037252903 439500.0000000074505806, 85700.0000000037252903 439600.0000000074505806))",370272,370272,E0857N4395,115,15,25,10,60,5,90% of meer,minder dan 8%,minder dan 10%,40,359,95,0
"Polygon ((85800 439600.0000000074505806, 85900 439600.0000000074505806, 85900 439500.0000000074505806, 85800 439500.0000000074505806, 85800 439600.0000000074505806))",370273,370273,E0858N4395,65,10,15,15,30,0,90% of meer,minder dan 8%,minder dan 10%,20,255,60,0
"Polygon ((85900 439600.0000000074505806, 86000.0000000037252903 439600.0000000074505806, 86000.0000000037252903 439500.0000000074505806, 85900 439500.0000000074505806, 85900 439600.0000000074505806))",370274,370274,E0859N4395,75,15,10,15,25,10,75% tot 90%,8% tot 15%,minder dan 10%,25,277,50,1
"Polygon ((86000.0000000037252903 439600.0000000074505806, 86100.0000000037252903 439600.0000000074505806, 86100.0000000037252903 439500.0000000074505806, 86000.0000000037252903 439500.0000000074505806, 86000.0000000037252903 439600.0000000074505806))",370275,370275,E0860N4395,45,5,5,5,25,5,75% tot 90%,minder dan 8%,10% tot 25%,20,239,35,25
"Polygon ((86100.0000000037252903 439600.0000000074505806, 86200 439600.0000000074505806, 86200 439500.0000000074505806, 86100.0000000037252903 439500.0000000074505806, 86100.0000000037252903 439600.0000000074505806))",370276,370276,E0861N4395,55,15,5,5,25,5,60% tot 75%,15% tot 25%,minder dan 10%,20,386,35,1
"Polygon ((86200 439600.0000000074505806, 86300 439600.0000000074505806, 86300 439500.0000000074505806, 86200 439500.0000000074505806, 86200 439600.0000000074505806))",370277,370277,E0862N4395,120,40,15,40,25,0,75% tot 90%,8% tot 15%,10% tot 25%,35,310,80,1
"Polygon ((86300 439600.0000000074505806, 86400.0000000037252903 439600.0000000074505806, 86400.0000000037252903 439500.0000000074505806, 86300 439500.0000000074505806, 86300 439600.0000000074505806))",370278,370278,E0863N4395,30,10,5,10,10,0,75% tot 90%,geen w. allochtoon,10% tot 25%,10,272,25,4
"Polygon ((86400.0000000037252903 439600.0000000074505806, 86500.0000000037252903 439600.0000000074505806, 86500.0000000037252903 439500.0000000074505806, 86400.0000000037252903 439500.0000000074505806, 86400.0000000037252903 439600.0000000074505806))",370279,370279,E0864N4395,5,0,0,0,0,5,geheim,geheim,geheim,5,-99997,0,5
"Polygon ((86500.0000000037252903 439600.0000000074505806, 86600 439600.0000000074505806, 86600 439500.0000000074505806, 86500.0000000037252903 439500.0000000074505806, 86500.0000000037252903 439600.0000000074505806))",370280,370280,E0865N4395,5,5,0,5,0,0,geheim,geheim,geheim,0,-99997,5,1
"Polygon ((86600 439600.0000000074505806, 86700 439600.0000000074505806, 86700 439500.0000000074505806, 86600 439500.0000000074505806, 86600 439600.0000000074505806))",370281,370281,E0866N4395,25,10,0,10,5,0,60% tot 75%,minder dan 8%,25% tot 45%,10,259,15,2
"Polygon ((86700 439600.0000000074505806, 86800.0000000037252903 439600.0000000074505806, 86800.0000000037252903 439500.0000000074505806, 86700 439500.0000000074505806, 86700 439600.0000000074505806))",370282,370282,E0867N4395,20,5,0,5,10,5,90% of meer,geen w. allochtoon,geen nw. allochtoon,10,240,15,0
