wkt_geom,sid,objectid,c28992r100,inw2014,i2014_014,i2014_1524,i2014_2544,i2014_4564,i2014_65pl,p_auto2014,p_wal2014,p_nwal2014,won2012,wozwon2012,i2014_1564,Disable
"Polygon ((91500.0000000037252903 443800.0000000111758709, 91600 443800.0000000111758709, 91600 443699.9999999962747097, 91500.0000000037252903 443699.9999999962747097, 91500.0000000037252903 443800.0000000111758709))",352868,352868,E0915N4437,30,5,5,5,10,5,75% tot 90%,15% tot 25%,geen nw. allochtoon,15,361,20,21
"Polygon ((91600 443800.0000000111758709, 91700 443800.0000000111758709, 91700 443699.9999999962747097, 91600 443699.9999999962747097, 91600 443800.0000000111758709))",352869,352869,E0916N4437,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((92000 443800.0000000111758709, 92100 443800.0000000111758709, 92100 443699.9999999962747097, 92000 443699.9999999962747097, 92000 443800.0000000111758709))",352870,352870,E0920N4437,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
"Polygon ((92100 443800.0000000111758709, 92200.0000000037252903 443800.0000000111758709, 92200.0000000037252903 443699.9999999962747097, 92100 443699.9999999962747097, 92100 443800.0000000111758709))",352871,352871,E0921N4437,5,0,0,0,0,0,geheim,geheim,geheim,5,-99997,0,4
"Polygon ((92200.0000000037252903 443800.0000000111758709, 92300.0000000037252903 443800.0000000111758709, 92300.0000000037252903 443699.9999999962747097, 92200.0000000037252903 443699.9999999962747097, 92200.0000000037252903 443800.0000000111758709))",352872,352872,E0922N4437,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,5
"Polygon ((93200 443800.0000000111758709, 93300.0000000037252903 443800.0000000111758709, 93300.0000000037252903 443699.9999999962747097, 93200 443699.9999999962747097, 93200 443800.0000000111758709))",352873,352873,E0932N4437,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
"Polygon ((93300.0000000037252903 443800.0000000111758709, 93400.0000000037252903 443800.0000000111758709, 93400.0000000037252903 443699.9999999962747097, 93300.0000000037252903 443699.9999999962747097, 93300.0000000037252903 443800.0000000111758709))",352874,352874,E0933N4437,-99998,0,0,0,0,0,nihil,nihil,nihil,0,-99999,0,-99998
"Polygon ((93800 443800.0000000111758709, 93900 443800.0000000111758709, 93900 443699.9999999962747097, 93800 443699.9999999962747097, 93800 443800.0000000111758709))",352875,352875,E0938N4437,10,5,0,0,5,0,90% of meer,geen w. allochtoon,geen nw. allochtoon,5,-99997,5,9
"Polygon ((93900 443800.0000000111758709, 94000.0000000037252903 443800.0000000111758709, 94000.0000000037252903 443699.9999999962747097, 93900 443699.9999999962747097, 93900 443800.0000000111758709))",352876,352876,E0939N4437,10,5,0,0,5,0,geheim,geheim,geheim,5,-99997,5,1
"Polygon ((94100.0000000037252903 443800.0000000111758709, 94200 443800.0000000111758709, 94200 443699.9999999962747097, 94100.0000000037252903 443699.9999999962747097, 94100.0000000037252903 443800.0000000111758709))",352877,352877,E0941N4437,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((94200 443800.0000000111758709, 94300 443800.0000000111758709, 94300 443699.9999999962747097, 94200 443699.9999999962747097, 94200 443800.0000000111758709))",352878,352878,E0942N4437,-99998,0,0,0,0,0,nihil,nihil,nihil,0,-99997,0,-99998
"Polygon ((94400.0000000037252903 443800.0000000111758709, 94500.0000000074505806 443800.0000000111758709, 94500.0000000074505806 443699.9999999962747097, 94400.0000000037252903 443699.9999999962747097, 94400.0000000037252903 443800.0000000111758709))",352879,352879,E0944N4437,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,3
"Polygon ((97600 443800.0000000111758709, 97700.0000000037252903 443800.0000000111758709, 97700.0000000037252903 443699.9999999962747097, 97600 443699.9999999962747097, 97600 443800.0000000111758709))",352880,352880,E0976N4437,5,0,0,0,5,5,geheim,geheim,geheim,5,-99997,5,1
"Polygon ((97700.0000000037252903 443800.0000000111758709, 97800 443800.0000000111758709, 97800 443699.9999999962747097, 97700.0000000037252903 443699.9999999962747097, 97700.0000000037252903 443800.0000000111758709))",352881,352881,E0977N4437,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((99800.0000000037252903 443800.0000000111758709, 99900.0000000037252903 443800.0000000111758709, 99900.0000000037252903 443699.9999999962747097, 99800.0000000037252903 443699.9999999962747097, 99800.0000000037252903 443800.0000000111758709))",352882,352882,E0998N4437,110,0,0,0,10,95,90% of meer,8% tot 15%,geen nw. allochtoon,85,159,10,1
"Polygon ((100000 443800.0000000111758709, 100100 443800.0000000111758709, 100100 443699.9999999962747097, 100000 443699.9999999962747097, 100000 443800.0000000111758709))",352883,352883,E1000N4437,40,10,5,15,5,10,40% tot 60%,8% tot 15%,25% tot 45%,5,-99997,25,26
"Polygon ((100100 443800.0000000111758709, 100200.0000000037252903 443800.0000000111758709, 100200.0000000037252903 443699.9999999962747097, 100100 443699.9999999962747097, 100100 443800.0000000111758709))",352884,352884,E1001N4437,10,0,0,0,5,5,geheim,geheim,geheim,5,676,5,0
"Polygon ((100200.0000000037252903 443800.0000000111758709, 100300.0000000037252903 443800.0000000111758709, 100300.0000000037252903 443699.9999999962747097, 100200.0000000037252903 443699.9999999962747097, 100200.0000000037252903 443800.0000000111758709))",352885,352885,E1002N4437,40,15,0,20,0,0,60% tot 75%,minder dan 8%,25% tot 45%,5,-99997,20,13
