wkt_geom,id,name,desc,ModeType,Rh1_Wd/h,Rd2_Wd/h,NRh_Wd/h,Rh1_We/h,Rh2_We/h,NRh_We/h
Point ((91889.16000000000349246 437774.60999999998603016)),954,ROTTERDAM CENTRAAL,,Train,10,10,8,10,10,7
Point ((84424.16000000000349246 436234.60999999998603016)),993,VLAARDINGEN OOST,,Train,6,6,5,6,6,4
Point ((97523.17100000000209548 429900.29599999997299165)),40,BARENDRECHT,,Train,6,6,5,6,6,4
Point ((96036.21400000000721775 432775.82600000000093132)),276,ROTTERDAM LOMBARDIJEN,,Train,9,9,6,8,8,5
Point ((87751.9379999999946449 437495.33100000000558794)),290,SCHIEDAM - CENTRUM,,Train,7,7,5,6,6,5
Point ((97762 440709)),271,ROTTERDAM ALEXANDER,,Train,9,9,6,8,8,5
Point ((93217 437222)),273,ROTTERDAM BLAAK,,Train,10,10,8,10,10,7
Point ((92808 439716)),277,ROTTERDAM NOORD,,Train,9,9,6,8,8,5
Point ((94671 435434)),279,ROTTERDAM ZUID,,Train,9,9,6,8,8,5
Point ((85870 437561)),289,SCHIEDAM NIEUWLAND,,Train,6,6,5,6,6,4
Point ((99824 440942)),71,CAPELLE SCHOLLEVAAR,,Train,6,6,5,6,6,4
Point (91193.030838152684737 437073.01946298964321613),1,1e Middellandstraat,"Tramlijn 24, Tramlijn 21, Tramlijn 23 Zone 5300 Halte is rolstoeltoegankelijk.",Tram,9,9,7,8,8,5
Point (89014.02726345643168315 439110.0148807437508367),2,2e Hogenbanweg,"Buslijn 32, Buslijn 33, Buslijn 40 Zone 5315",Bus,18,13,11,17,14,8
Point (88987.02714444397133775 439149.01417481113458052),3,2e Hogenbanweg,"Buslijn 33, Buslijn 40 Zone 5315",Bus,11,7,6,10,9,4
Point (69777.01291858109470922 446666.9671239799936302),4,Aaksterlaan,BOB-buslijn 19 Zone 5300,Bus,6,5,4,3,3,1
Point (92645.02040913110249676 441831.02242158562876284),5,Abeelweg,Buslijn 35 Zone 5310,Bus,8,8,4,7,4,4
Point (92673.02045725133211818 441801.02210636757081375),6,Abeelweg,"Buslijn 35, BOB-buslijn 10 Zone 5300",Bus,12,11,6,11,7,5
Point (83325.03849873103899881 435103.00107082078466192),7,Abel Tasmanlaan,Buslijn 57 Zone 5329,Bus,8,6,4,5,4,3
Point (89817.02894787245895714 438174.01637762109749019),8,Abraham van Stolkweg,Buslijn 32 Zone 5300,Bus,7,6,5,7,5,4
Point (89791.02917926589725539 438099.01646995678311214),9,Abraham van Stolkweg,Buslijn 32 Zone 5300,Bus,7,6,5,7,5,4
Point (89813.02767947554821149 438772.0163728641346097),10,Abtsweg,"Buslijn 32, Buslijn 40 Zone 5315",Bus,10,8,7,9,7,6
Point (89791.027483571349876 438871.01560557063203305),11,Abtsweg,"Buslijn 32, Buslijn 40 Zone 5315",Bus,10,8,7,9,7,6
Point (93140.02006471034837887 441929.02325488353380933),12,Achillesstraat,Buslijn 35 Zone 5310,Bus,8,8,4,7,4,4
Point (93137.02016899772570468 441887.02331007912289351),13,Achillesstraat,Buslijn 35 Zone 5310,Bus,8,8,4,7,4,4
Point (86989.01219376185326837 446105.01030784397153184),14,Achtmanstraat,BOB-buslijn 10 Zone 5300,Bus,4,3,2,4,3,1
Point (86062.01810128253418952 443554.00749929348239675),15,Ackerdijkseweg,Buslijn 40 Zone 5426,Bus,3,2,2,2,2,2
Point (86057.01810973905958235 443555.00789497431833297),16,Ackerdijkseweg,Buslijn 40 Zone 5325,Bus,3,2,2,2,2,2
Point (90563.01064317939744797 446634.01758132909890264),17,Ade,BOB-buslijn 10 Zone 5300,Bus,4,3,2,4,3,1
Point (92926.02831516563310288 437973.02228989329887554),18,Admiraal de Ruyterweg,Buslijn 39 Zone 5300,Bus,5,3,2,4,2,1
Point (92948.02829347412625793 437974.02316862170118839),19,Admiraal de Ruyterweg,"Buslijn 39, BOB-buslijn 1 Zone 5300",Bus,8,6,3,6,4,2
Point (98063.02971639164024964 436277.03267281258013099),20,Admiraal Helfrichweg,Buslijn 34 Zone 5311,Bus,2,2,2,2,2,1
Point (92125.02026059685158543 441963.02098681445932016),21,Adrianalaan,Buslijn 35 Zone 5310,Bus,8,8,4,7,4,4
Point (92150.02024782777880318 441949.02136380021693185),22,Adrianalaan,"Buslijn 35, BOB-buslijn 10 Zone 5300",Bus,12,11,6,11,7,5
Point (98629.02955745966755785 436235.03384182008448988),23,Aert van Nesstraat,Buslijn 34 Zone 5311,Bus,2,2,2,2,2,1
Point (93847.03406574824475683 434985.02470456156879663),24,Afrikaanderplein,Buslijn 77 Zone 5314,Bus,4,2,1,4,2,1
Point (93877.03403912106296048 434980.02493059099651873),25,Afrikaanderplein,Buslijn 77 Zone 5314,Bus,4,2,1,4,2,1
Point (92975.03789942747971509 433278.02249704668065533),26,Ahoy'-complex,"Buslijn 70, Buslijn 68, BOB-buslijn 7, BOB-buslijn 11 Zone 5300",Bus,16,16,12,15,13,8
Point (93047.03777098904538434 433334.02267454122193158),27,Ahoy'-complex,"Buslijn 70, Buslijn 76, Buslijn 66, Buslijn 77, Buslijn 68 Zone 5314",Bus,28,23,19,24,20,14
Point (97956.03557731240289286 433221.03248914080904797),28,Akkeroord,"Buslijn 143, Buslijn 144, Buslijn 145 Zone 5324",Bus,7,6,5,7,4,2
Point (97862.03552183831925504 433256.0328193549066782),29,Akkeroord,"Buslijn 143, Buslijn 144, Buslijn 145 Zone 5324",Bus,7,6,5,7,4,2
Point (97892.03570296762336511 433179.03309233614709228),30,Akkeroord,"Buslijn 76, Buslijn 70 Zone 5324",Bus,13,13,11,12,12,8
Point (97901.0356279140105471 433194.0324523268500343),31,Akkeroord,"Buslijn 76, Buslijn 70 Zone 5324",Bus,13,13,11,12,12,8
Point (97862.03552183831925504 433256.0328193549066782),32,Akkeroord,Deze halte is tijdelijk komen te vervallen Zone 5324,Bus,4,4,2,3,3,2
Point (97859.03558383008930832 433248.03259892232017592),33,Akkeroord,Tramlijn 23 Zone 5324 Halte is rolstoeltoegankelijk.,Tram,4,4,3,4,4,3
Point (97956.03557731240289286 433221.03248914080904797),34,Akkeroord,"Tramlijn 23, Tramlijn 12, BOB-buslijn 16 Zone 5300 Halte is rolstoeltoegankelijk.",Tram,13,12,10,12,11,9
Point (81251.05610783556767274 428136.99668616696726531),35,Akkersweg,BOB-buslijn 8 Zone 5326,Bus,6,6,5,6,6,4
Point (89550.04253698728280142 431923.0158940275432542),36,Albert Plesmanweg,Buslijn 69 Zone 5316,Bus,10,8,4,3,2,1
Point (89581.0425693784491159 431920.01597842364571989),37,Albert Plesmanweg,Buslijn 69 Zone 5316,Bus,10,8,4,3,2,1
Point (86993.04965786615503021 429338.00975967891281471),38,Albrandswaardsedijk,Buslijn 79 Zone 5316,Bus,10,10,6,8,8,6
Point (86984.04971358137845527 429328.00981627742294222),39,Albrandswaardsedijk,Buslijn 79 Zone 5316,Bus,10,10,6,8,8,6
Point (86295.0337351211492205 436632.00781933998223394),40,Aleidastraat,Buslijn 51 Zone 5319,Bus,7,5,5,7,5,4
Point (86320.03388193051796407 436549.00861728063318878),41,Aleidastraat,Buslijn 51 Zone 5319,Bus,7,5,5,7,5,4
Point (97568.02133870177203789 440721.03190153243485838),42,Alexander,Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.,Metro,12,12,6,12,12,6
Point (97568.02133870177203789 440721.03190153243485838),43,Alexander,Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.,Metro,12,12,6,12,12,6
Point (97904.02215396967949346 440266.03318006923655048),44,Alexandrium I,"Buslijn 30, Buslijn 36, Buslijn 31, Buslijn 37 Zone 5321",Bus,14,8,6,10,6,5
Point (97891.02218712618923746 440245.03227236389648169),45,Alexandrium I,"Buslijn 30, Buslijn 36, Buslijn 31, Buslijn 37 Zone 5321",Bus,14,8,6,10,6,5
Point (97802.02157571306452155 440580.03298582858406007),46,Alexandrium II,"Buslijn 30, Buslijn 36, Buslijn 31, Buslijn 37 Zone 5321",Bus,14,8,6,10,6,5
Point (97837.02164107284625061 440510.03305143193574622),47,Alexandrium II,"Buslijn 30, Buslijn 36, Buslijn 31, Buslijn 37 Zone 5321",Bus,14,8,6,10,6,5
Point (96727.00841268498334102 447452.03095847991062328),48,Alfred Nobelstraat,Buslijn 173 Zone 5330,Bus,5,4,2,5,4,2
Point (96629.00829536232049577 447490.03014062735019252),49,Alfred Nobelstraat,"Buslijn 173, BOB-buslijn 17 Zone 5300",Bus,9,7,5,8,6,3
Point (87151.02845167246414348 438821.00986470899078995),50,Algerastraat,Buslijn 53 Zone 5327,Bus,4,4,3,4,4,3
Point (87145.02832976615172811 438881.01019730052212253),51,Algerastraat,"Buslijn 53, BOB-buslijn 3 Zone 5300",Bus,10,10,7,9,9,5
Point (90039.03093642418389209 437238.01717392093269154),52,Allard Piersonstraat,Buslijn 32 Zone 5300,Bus,7,6,5,7,5,4
Point (90054.0309621722844895 437222.0166011595283635),53,Allard Piersonstraat,Buslijn 32 Zone 5300,Bus,7,6,5,7,5,4
Point (83223.04711430496536195 431449.00074726453749463),54,Alsemstraat,Buslijn 78 Zone 5326,Bus,12,12,6,10,10,5
Point (83130.04720973610528745 431422.0007673041545786),55,Alsemstraat,Buslijn 78 Zone 5326,Bus,12,12,6,10,10,5
Point (98837.01809431242872961 442237.03470983554143459),56,Ambachtsland,Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.,Metro,12,12,6,12,12,6
Point (98837.01809431242872961 442237.03470983554143459),57,Ambachtsland,Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.,Metro,12,12,6,12,12,6
Point (92702.03704577375901863 433762.0225553436903283),58,Amelandseplein,Buslijn 44 Zone 5314,Bus,3,1,1,2,2,1
Point (92741.03707390825729817 433740.02259653381770477),59,Amelandseplein,"Buslijn 44, BOB-buslijn 7, BOB-buslijn 11 Zone 5300",Bus,8,6,5,7,5,3
Point (88136.02831817769038025 438731.01213265454862267),60,Amstelstraat,Buslijn 42 Zone 5315,Bus,3,4,2,3,2,2
Point (88141.02842811105074361 438713.01304059044923633),61,Amstelstraat,Buslijn 42 Zone 5315,Bus,3,4,2,3,2,2
Point (83622.02917183577665128 439052.00191742752213031),62,Amsterdamlaan,Buslijn 57 Zone 5327,Bus,8,6,4,5,4,3
Point (83618.02914638373476919 439051.00197278341511264),63,Amsterdamlaan,"Buslijn 57, BOB-buslijn 2 Zone 5300",Bus,11,9,6,8,6,4
Point (83310.03125548436946701 438215.00185967568540946),64,Anna Paulownalaan,Buslijn 56 Zone 5327,Bus,10,9,7,10,10,5
Point (83257.0314000988000771 438140.00089810887584463),65,Anna Paulownalaan,"Buslijn 56, Buslijn 57, BOB-buslijn 2 Zone 5300",Bus,21,18,13,18,16,9
Point (83221.03104108264960814 438290.0009058402501978),66,Anna Paulownalaan,"Buslijn 57, BOB-buslijn 2 Zone 5300",Bus,11,9,6,8,6,4
Point (84930.05390577517391648 428039.00510224403114989),67,Annie van Hattemstraat,BOB-buslijn 8 Zone 5326,Bus,6,6,5,6,6,4
Point (90371.04062032164074481 432624.01763471751473844),68,Anthony Fokkerweg,"Buslijn 68, Buslijn 69, Buslijn 71 Zone 5316",Bus,22,18,11,13,11,6
Point (90275.04063455693540163 432645.01692811731481925),69,Anthony Fokkerweg,"Buslijn 68, Buslijn 71 Zone 5316",Bus,12,10,7,10,9,5
Point (90317.04073704037000425 432576.01759900950128213),70,Anthony Fokkerweg,"Buslijn 69, Buslijn 68 Zone 5316",Bus,15,13,7,7,6,3
Point (94249.00978075477178209 446871.02624255826231092),71,Anthuriumweg,Buslijn 170 Zone 5320,Bus,8,8,8,8,8,6
Point (94239.00977616889576893 446847.02616589731769636),72,Anthuriumweg,Buslijn 170 Zone 5320,Bus,8,8,8,8,8,6
Point (89265.04188806138699874 432309.01487787457881495),73,Antonie Bodaanweg,Buslijn 69 Zone 5316,Bus,10,8,4,3,2,1
Point (89298.04184751701541245 432298.01453751447843388),74,Antonie Bodaanweg,Buslijn 69 Zone 5316,Bus,10,8,4,3,2,1
Point (97157.03442672279197723 434025.03160323540214449),75,Antonius IJsselmonde,BOB-buslijn 16 Zone 5300,Bus,5,4,3,4,3,2
Point (97092.03432978500495665 434070.03149887186009437),76,Antonius IJsselmonde,Tramlijn 23 Zone 5324 Halte is rolstoeltoegankelijk.,Tram,4,4,3,4,4,3
Point (97113.03440547207719646 434049.03080298117129132),77,Antonius IJsselmonde,"Tramlijn 23, Tramlijn 12 Zone 5324 Halte is rolstoeltoegankelijk.",Tram,8,8,7,8,8,7
Point (96985.03778525321104098 432337.03071606735466048),78,Appeldijk,Buslijn 76 Zone 5324,Bus,7,7,6,6,6,4
Point (96980.03776837921759579 432351.03133817348862067),79,Appeldijk,Buslijn 76 Zone 5324,Bus,7,7,6,6,6,4
Point (91638.0380000392178772 433548.02027041430119425),80,Arendsweg,"Buslijn 73, Buslijn 46 Zone 5314",Bus,10,9,6,8,9,5
Point (91659.03801939298864454 433546.01978248654631898),81,Arendsweg,"Buslijn 73, Buslijn 46 Zone 5314",Bus,10,9,6,8,9,5
Point (93052.02057371134287678 441686.02292156481416896),82,Argonautenweg,Buslijn 174 Zone 5310,Bus,4,3,3,3,2,1
Point (93021.02056963735958561 441695.02304468891816214),83,Argonautenweg,Buslijn 174 Zone 5310,Bus,4,3,3,3,2,1
Point (92768.04053386781015433 432050.02249553764704615),84,Asterlo,Buslijn 70 Zone 5314,Bus,6,6,5,6,6,4
Point (92777.04055734677240252 432031.021965391933918),85,Asterlo,"Buslijn 70, BOB-buslijn 11 Zone 5300",Bus,7,7,6,7,7,5
Point (92974.01444702940352727 444674.02348643797449768),86,Astertuin,Buslijn 172 Zone 5320,Bus,3,3,1,2,2,0
Point (92977.01441869264817797 444693.02314663614379242),87,Astertuin,Buslijn 172 Zone 5320,Bus,3,3,1,2,2,0
Point (98142.02573037601541728 438344.0328349387855269),88,Atatürkstraat,BOB-buslijn 4 Zone 5300,Bus,12,10,8,10,7,4
Point (85262.01137313859362621 446555.00562924880068749),89,Aula TU,Buslijn 174 Zone 5426,Bus,4,3,3,3,2,1
Point (85258.0114251185732428 446539.00614323490299284),90,Aula TU,Buslijn 174 Zone 5426,Bus,4,3,3,3,2,1
Point (85200.01137880465830676 446565.0061025203904137),91,Aula TU Delft,Buslijn 40 Zone 5426,Bus,3,2,2,2,2,2
Point (94780.02910203326609917 437232.02700952102895826),92,Avenue Concordia,BOB-buslijn 4 Zone 5300,Bus,12,10,8,10,7,4
Point (94719.0290813529281877 437254.02630110341124237),93,Avenue Concordia,"BOB-buslijn 5, BOB-buslijn 4 Zone 5300",Bus,21,17,12,17,13,6
Point (94702.02910891956707928 437255.02684857457643375),94,Avenue Concordia,"Tramlijn 24, Tramlijn 21 Zone 5300 Halte is rolstoeltoegankelijk.",Tram,5,5,4,4,4,2
Point (94780.02910203326609917 437232.02700952102895826),95,Avenue Concordia,"Tramlijn 24, Tramlijn 21 Zone 5300 Halte is rolstoeltoegankelijk.",Tram,5,5,4,4,4,2
Point (88388.008031807403313 447912.01299991004634649),96,B.V. Mol,BOB-buslijn 10 Zone 5300,Bus,4,3,2,4,3,1
Point (89058.02755780958977994 438958.0144548483658582),97,Baanweg,"Buslijn 32, Buslijn 40 Zone 5315",Bus,10,8,7,9,7,6
Point (89100.02748653833987191 438974.01508724724408239),98,Baanweg,"Buslijn 32, Buslijn 40 Zone 5315",Bus,10,8,7,9,7,6
Point (83853.04867141770955641 430622.00242490007076412),99,Baarsweg,"Buslijn 78, Buslijn 80 Zone 5326",Bus,18,18,10,15,15,9
Point (83878.04859898675931618 430635.00310735602397472),100,Baarsweg,"Buslijn 80, Buslijn 78 Zone 5326",Bus,18,18,10,15,15,9
Point (85126.02814827088150196 439276.00544924091082066),101,Bachplein,"Tramlijn 24, Tramlijn 21 Zone 5327 Halte is rolstoeltoegankelijk.",Tram,5,5,4,4,4,2
Point (85158.02814648651110474 439270.0056896487949416),102,Bachplein,"Tramlijn 24, Tramlijn 21 Zone 5327 Halte is rolstoeltoegankelijk.",Tram,5,5,4,4,4,2
Point (80850.05432436159753706 428999.99515264295041561),103,Baljuwlaan,BOB-buslijn 8 Zone 5326,Bus,6,6,5,6,6,4
Point (85198.0132721401314484 445719.00553728069644421),104,Balthasar van der Polweg,Buslijn 40 Zone 5426,Bus,3,2,2,2,2,2
Point (85162.01315443946805317 445798.00604719651164487),105,Balthasar van der Polweg,Buslijn 40 Zone 5426,Bus,3,2,2,2,2,2
Point (97876.01929706553346477 441729.03335498896194622),106,Barbarakruid,Buslijn 35 Zone 5321,Bus,8,8,4,7,4,4
Point (97863.01932655382552184 441734.03328924375819042),107,Barbarakruid,"Buslijn 35, BOB-buslijn 1 Zone 5300",Bus,11,11,5,9,6,5
Point (83935.04996265907539055 430027.0032051132293418),108,Barbeelsingel,Buslijn 80 Zone 5326,Bus,6,6,4,5,5,4
Point (83929.0499497232522117 430057.00327983015449718),109,Barbeelsingel,Buslijn 80 Zone 5326,Bus,6,6,4,5,5,4
Point (97662.02501251039211638 438812.03243245708290488),110,Beelstraat,Buslijn 37 Zone 5321,Bus,4,1,1,2,1,1
Point (97661.02506332608754747 438775.03233548247953877),111,Beelstraat,Buslijn 37 Zone 5321,Bus,4,1,1,2,1,1
Point (100718.02321547744213603 439236.03828806261299178),112,Beemsterhoek,"Buslijn 31, BOB-buslijn 4 Zone 5300",Bus,15,12,10,12,8,5
Point (100321.03813671268289909 431203.03743475582450628),113,Begoniastraat,Buslijn 146 Zone 5334,Bus,3,3,3,3,3,3
Point (100326.03818744298769161 431145.03753904404584318),114,Begoniastraat,"Buslijn 146, BOB-buslijn 16 Zone 5300",Bus,8,7,6,7,9,5
Point (102508.0155116721871309 443242.04109936277382076),115,Begoniaveld,BOB-buslijn 1 Zone 5300,Bus,3,3,1,2,2,1
Point (94003.01466989106847905 444479.02541292656678706),116,Begraafplaats,"Buslijn 174, Buslijn 172 Zone 5320",Bus,7,6,4,5,4,1
Point (94018.0145127531432081 444542.02464224433060735),117,Begraafplaats,"Buslijn 174, Buslijn 172, BOB-buslijn 10, BOB-buslijn 17 Zone 5300",Bus,15,12,9,12,9,3
Point (82710.02875151824264321 439344.99986197962425649),118,Begraafplaats Holy,Buslijn 56 Zone 5327,Bus,10,9,7,10,10,5
Point (94683.03433422007947229 434654.0260986149078235),119,Beijerlandselaan,"Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.",Tram,5,4,4,4,4,3
Point (94685.03427745093358681 434682.02670220367144793),120,Beijerlandselaan,"Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.",Tram,5,4,4,4,4,3
Point (96050.04362343518005218 429597.028639359283261),121,Beltmolen,Buslijn 184 Zone 5328,Bus,3,3,2,2,1,0
Point (96017.04365166180650704 429592.02957621816312894),122,Beltmolen,"Buslijn 184, BOB-buslijn 11 Zone 5300",Bus,4,4,3,3,2,1
Point (98556.02412336444831453 439124.03416396898683161),123,Beltmolen,Buslijn 37 Zone 5321,Bus,4,1,1,2,1,1
Point (98559.0241150968358852 439122.03421324008377269),124,Beltmolen,Buslijn 37 Zone 5321,Bus,4,1,1,2,1,1
Point (98530.02418256874079816 439085.03433527855668217),125,Beltmolen,Buslijn 37 Zone 5321,Bus,4,1,1,2,1,1
Point (98530.02416856684430968 439081.03432650177273899),126,Beltmolen,Buslijn 37 Zone 5321,Bus,4,1,1,2,1,1
Point (99769.03276064695091918 434261.03582459752215073),127,Benedenrijweg,Buslijn 140 Zone 5324,Bus,12,11,8,11,11,6
Point (99829.03287631823332049 434181.0365534916636534),128,Benedenrijweg,Buslijn 144 Zone 5324,Bus,3,2,2,3,1,1
Point (99728.03298128474853002 434155.03590513189556077),129,Benedenrijweg,"Buslijn 144, Buslijn 140 Zone 5324",Bus,15,13,10,14,12,7
Point (92564.02641145035158843 438955.02204331924440339),130,Benthuizerstraat,Tramlijn 8 Zone 5300,Tram,3,2,2,2,2,1
Point (92575.02642649694462307 438922.02164991159224883),131,Benthuizerstraat,Tramlijn 8 Zone 5300,Tram,3,2,2,2,2,1
Point (91329.02883702804683708 437989.01907554554054514),132,Bentinckplein,Buslijn 33 Zone 5300,Bus,8,5,4,8,7,2
Point (91332.02905590062437113 437884.01931146130664274),133,Bentinckplein,"Buslijn 33, Buslijn 44, Buslijn 39 Zone 5300",Bus,16,9,7,14,11,4
Point (91272.02895273636386264 437942.01911564375041053),134,Bentinckplein,Buslijn 44 Zone 5300,Bus,3,1,1,2,2,1
Point (91363.02890828291128855 437956.01903301995480433),135,Bentinckplein,Deze halte is tijdelijk komen te vervallen Zone 5300,Bus,4,4,2,3,3,2
Point (91330.02903616830008104 437890.01988816930679604),136,Bentinckplein,Deze halte is tijdelijk komen te vervallen Zone 5300,Bus,4,4,2,3,3,2
Point (92328.02416927454760298 440049.02198424888774753),137,Bergpolderplein,"Buslijn 35, Buslijn 174, BOB-buslijn 10 Zone 5300",Bus,16,14,9,14,9,6
Point (92254.02420943227480166 440052.0214834520011209),138,Bergpolderplein,Tramlijn 8 Zone 5310,Tram,3,2,2,2,2,1
Point (92343.02420759166125208 440041.02170955110341311),139,Bergpolderplein,"Tramlijn 8, Buslijn 35, Buslijn 174 Zone 5310",Tram,15,13,9,12,8,6
Point (94094.01364297643885948 444977.02541514969198033),140,Bergschenhoek Dorpsstraat,"Buslijn 173, Buslijn 172 Zone 5320",Bus,8,7,3,7,6,2
Point (94115.01364813809050247 444970.02516179636586457),141,Bergschenhoek Dorpsstraat,"Buslijn 173, Buslijn 172 Zone 5320",Bus,8,7,3,7,6,2
Point (93658.02069884486263618 441563.02433842781465501),142,Bergse Dorpsstraat,"Buslijn 35, Buslijn 174 Zone 5310",Bus,12,11,7,10,6,5
Point (93633.02077971374092158 441538.02468786208191887),143,Bergse Dorpsstraat,"Buslijn 35, Buslijn 174, BOB-buslijn 10 Zone 5300",Bus,16,14,9,14,9,6
Point (93637.02103440008067992 441409.02382046688580886),144,Bergse Dorpsstraat,Tramlijn 4 Zone 5310,Tram,4,4,2,3,3,2
Point (93633.02112091492745094 441360.02385213924571872),145,Bergse Dorpsstraat,Tramlijn 4 Zone 5310,Tram,4,4,2,3,3,2
Point (93285.02249188601854257 440727.02338825032347813),146,Bergse Plaslaan,Tramlijn 4 Zone 5310,Tram,4,4,2,3,3,2
Point (93269.02259750789380632 440690.02310432505328208),147,Bergse Plaslaan,Tramlijn 4 Zone 5310,Tram,4,4,2,3,3,2
Point (90880.01404962463129777 445007.01893222710350528),148,Berkel Westpolder,BOB-buslijn 10 Zone 5300,Bus,4,3,2,4,3,1
Point (90880.01404962463129777 445007.01893222710350528),149,Berkel Westpolder,Buslijn 174 Zone 5320,Bus,4,3,3,3,2,1
Point (90911.01374697699793614 445155.01848692802013829),150,Berkel Westpolder,Metrolijn E Zone 5320 Dit metrostation is toegankelijk met een rolstoel.,Metro,4,4,2,4,4,2
Point (90969.01422143958916422 444927.01830385270295665),151,Berkel Westpolder,Metrolijn E Zone 5320 Dit metrostation is toegankelijk met een rolstoel.,Metro,4,4,2,4,4,2
Point (90858.01399641763418913 445027.01863608951680362),152,Berkel Westpolder Metro,Buslijn 174 Zone 5320,Bus,4,3,3,3,2,1
Point (93299.01267525121511426 445503.02325329522136599),153,Berkelseweg,"Buslijn 170, Buslijn 173 Zone 5320",Bus,13,12,8,13,12,8
Point (93286.0127074942283798 445491.02349452197086066),154,Berkelseweg,"Buslijn 170, Buslijn 173 Zone 5320",Bus,13,12,8,13,12,8
Point (93295.01255661266623065 445554.02374380582477897),155,Berkelseweg,"Buslijn 174, Buslijn 172 Zone 5320",Bus,7,6,4,5,4,1
Point (93300.0125520343426615 445560.02382084174314514),156,Berkelseweg,"Buslijn 174, Buslijn 172, BOB-buslijn 10 Zone 5300",Bus,11,9,6,9,7,2
Point (89574.03067368210759014 437436.01571511739166453),157,Beukelsbrug,Buslijn 38 Zone 5319,Bus,6,5,5,5,4,4
Point (89623.03064665284182411 437433.01582942466484383),158,Beukelsbrug,"Buslijn 38, BOB-buslijn 2 Zone 5300",Bus,9,8,7,8,6,5
Point (90905.03020572515379172 437401.01891711814096197),159,Beukelsdijk,"Buslijn 40, Buslijn 38, BOB-buslijn 2 Zone 5300",Bus,12,10,9,10,8,7
Point (90924.03021265991264954 437394.01805047848029062),160,Beukelsdijk,"Buslijn 40, Buslijn 38, BOB-buslijn 2 Zone 5300",Bus,12,10,9,10,8,7
Point (90870.03021411818917841 437416.01829595642630011),161,Beukelsdijk,Buslijn 44 Zone 5300,Bus,3,1,1,2,2,1
Point (90868.03032115299720317 437352.01792742329416797),162,Beukelsdijk,Buslijn 44 Zone 5300,Bus,3,1,1,2,2,1
Point (90102.03082995823933743 437270.01659894012846053),163,Beukelsweg,Buslijn 38 Zone 5300,Bus,6,5,5,5,4,4
Point (90086.03086524356331211 437264.01663020648993552),164,Beukelsweg,"Buslijn 38, BOB-buslijn 2 Zone 5300",Bus,9,8,7,8,6,5
Point (95368.03622216613439377 433557.02781104616587982),165,Beukendaal,Deze halte is tijdelijk komen te vervallen Zone 5314,Bus,4,4,2,3,3,2
Point (95368.03622216613439377 433557.02781104616587982),166,Beukendaal,"Tramlijn 2, Tramlijn 20 Zone 5314 Halte is rolstoeltoegankelijk.",Tram,6,6,2,3,3,4
Point (95334.03614832001039758 433596.02795242785941809),167,Beukendaal,"Tramlijn 2, Tramlijn 20 Zone 5314 Halte is rolstoeltoegankelijk.",Tram,6,6,2,3,3,4
Point (82691.05488511706062127 428271.9999103267909959),168,Beukenlaan,BOB-buslijn 8 Zone 5326,Bus,6,6,5,6,6,4
Point (93357.01133323661633767 446144.02379016537452117),169,Beukensingel,BOB-buslijn 10 Zone 5300,Bus,4,3,2,4,3,1
Point (93328.01139400474494323 446113.02338397671701387),170,Beukensingel,Buslijn 174 Zone 5320,Bus,4,3,3,3,2,1
Point (93357.01133323661633767 446144.02379016537452117),171,Beukensingel,Buslijn 174 Zone 5320,Bus,4,3,3,3,2,1
Point (92609.03003443765919656 437171.02208917867392302),172,Beurs,BOB-buslijn 11 Zone 5300,Bus,1,1,1,1,1,1
Point (92594.03005318595387507 437169.02176346932537854),173,Beurs,"BOB-buslijn 7, BOB-buslijn 16, BOB-buslijn 5, BOB-buslijn 11 Zone 5300",Bus,19,16,11,16,12,6
Point (92609.03003443765919656 437171.02208917867392302),174,Beurs,Buslijn 48 Zone 5300,Bus,9,6,4,8,7,4
Point (92594.03005318595387507 437169.02176346932537854),175,Beurs,Buslijn 48 Zone 5300,Bus,9,6,4,8,7,4
Point (92652.03029766955296509 437045.02254199818708003),176,Beurs,Metrolijn A/B/C Zone 5300 Dit metrostation is toegankelijk met een rolstoel.,Metro,20,12,6,12,12,6
Point (92652.03029766955296509 437045.02254199818708003),177,Beurs,Metrolijn A/B/C Zone 5300 Dit metrostation is toegankelijk met een rolstoel.,Metro,12,12,6,12,12,6
Point (92667.03033175854943693 437046.02275044255657122),178,Beurs,"Metrolijn D, Metrolijn E Zone 5300 Dit metrostation is toegankelijk met een rolstoel.",Metro,10,10,6,10,10,6
Point (92667.03033175854943693 437046.02275044255657122),179,Beurs,"Metrolijn D, Metrolijn E Zone 5300 Dit metrostation is toegankelijk met een rolstoel.",Metro,10,10,6,10,10,6
Point (92611.0301431689877063 437119.02178359206300229),180,Beurs,"Tramlijn 24, Tramlijn 21, Tramlijn 12, Tramlijn 8, Tramlijn 23, Tramlijn 25 Zone 5300 Halte is rolstoeltoegankelijk.",Tram,19,18,15,17,17,12
