wkt_geom,id,name,desc,ModeType,Rh1_Wd/h,Rd2_Wd/h,NRh_Wd/h,Rh1_We/h,Rh2_We/h,NRh_We/h
Point (98585.02220037969527766 440119.03409436694346368),1362,Port Sa?dstraat,"Buslijn 30, Buslijn 31 Zone 5321",Bus,3,2,2,2,1,1
Point (98598.02216468038386665 440133.03368280571885407),1363,Port Sa?dstraat,"Buslijn 30, Buslijn 31, BOB-buslijn 5 Zone 5300",Bus,12,9,6,9,7,3
Point (87095.04303651177906431 432288.00981565506663173),1364,Portpark,Buslijn 69 Zone 5316,Bus,10,8,4,3,2,1
Point (99498.02113141950394493 440567.03632509522140026),1365,Posthoorn,Buslijn 30 Zone 5321,Bus,3,3,2,3,2,2
Point (99598.02100590619374998 440603.035671568417456),1366,Posthoorn,"Buslijn 30, BOB-buslijn 5 Zone 5300",Bus,12,10,6,10,8,4
Point (96631.04246668078121729 430021.03054775611963123),1367,Postkantoor,Buslijn 183 Zone 5328,Bus,3,3,2,2,2,2
Point (96644.04246588269597851 430020.03013430535793304),1368,Postkantoor,"Buslijn 183, BOB-buslijn 11 Zone 5300",Bus,4,4,3,3,3,3
Point (83927.04892427439335734 430473.00258337892591953),1369,Posweg,Buslijn 78 Zone 5326,Bus,12,12,6,10,10,5
Point (83931.04895241884514689 430472.00336650485405698),1370,Posweg,Buslijn 78 Zone 5326,Bus,12,12,6,10,10,5
Point (90622.0405658575182315 432593.01760668685892597),1371,Pottumstraat,"Buslijn 68, Buslijn 69, Buslijn 71 Zone 5314",Bus,22,18,11,13,11,6
Point (97893.02377470416831784 439390.03316628676839173),1372,Prinsenlaan,Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.,Metro,12,12,6,12,12,6
Point (97893.02377470416831784 439390.03316628676839173),1373,Prinsenlaan,Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.,Metro,12,12,6,12,12,6
Point (97466.03446622981573455 433909.0322320846025832),1374,Prinsenplein,"Buslijn 183, Buslijn 145 Zone 5324",Bus,5,5,4,4,4,3
Point (97416.03445862786611542 433928.03179192804964259),1375,Prinsenplein,"Buslijn 183, Buslijn 145, BOB-buslijn 16 Zone 5300",Bus,10,9,7,8,7,5
Point (97496.03450625241384842 433904.03206359886098653),1376,Prinsenplein,Tramlijn 23 Zone 5324 Halte is rolstoeltoegankelijk.,Tram,4,4,3,4,4,3
Point (97512.03452185296919197 433880.0318508165073581),1377,Prinsenplein,"Tramlijn 23, Tramlijn 12 Zone 5324 Halte is rolstoeltoegankelijk.",Tram,8,8,7,8,8,7
Point (85452.03029476093070116 438292.00693819229491055),1378,Prinses Beatrixlaan,BOB-buslijn 3 Zone 5300,Bus,6,6,4,5,5,2
Point (85365.03025360182800796 438326.00631416152464226),1379,Prinses Beatrixlaan,Buslijn 51 Zone 5327,Bus,7,5,5,7,5,4
Point (85396.0302659269364085 438308.00602285354398191),1380,Prinses Beatrixlaan,Buslijn 51 Zone 5327,Bus,7,5,5,7,5,4
Point (85444.03004520748800132 438384.00660103536210954),1381,Prinses Beatrixlaan,"Tramlijn 24, Tramlijn 21 Zone 5327 Halte is rolstoeltoegankelijk.",Tram,5,5,4,4,4,2
Point (85439.03009486319206189 438366.00584211683599278),1382,Prinses Beatrixlaan,"Tramlijn 24, Tramlijn 21 Zone 5327 Halte is rolstoeltoegankelijk.",Tram,5,5,4,4,4,2
Point (95262.02106926048872992 441163.02764754096278921),1383,Prinses Irenebrug,Buslijn 35 Zone 5310,Bus,8,8,4,7,4,4
Point (95351.02116012541227974 441104.02824442338896915),1384,Prinses Irenebrug,Buslijn 35 Zone 5310,Bus,8,8,4,7,4,4
Point (95778.00163677921227645 450860.02941926964558661),1385,Prismalaan West,Buslijn 173 Zone 5441,Bus,5,4,2,5,4,2
Point (95753.00160201624385081 450885.02939449268160388),1386,Prismalaan West,Buslijn 173 Zone 5441,Bus,5,4,2,5,4,2
Point (92154.02824035513913259 438132.02096282911952585),1387,Provenierssingel,Deze halte is tijdelijk komen te vervallen Zone 5300,Bus,4,4,2,3,3,2
Point (92166.02817851565487217 438147.02146639174316078),1388,Provenierssingel,Deze halte is tijdelijk komen te vervallen Zone 5300,Bus,4,4,2,3,3,2
Point (94098.03450812400842551 434692.02491783042205498),1389,Putsebocht,"Tramlijn 2, Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.",Tram,9,9,6,8,8,6
Point (94082.0344670029298868 434709.02544180862605572),1390,Putsebocht,"Tramlijn 2, Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.",Tram,9,9,6,8,8,6
Point (92660.01377680676523596 445029.02259018050972372),1391,Raadhuislaan,Buslijn 172 Zone 5320,Bus,3,3,1,2,2,0
Point (92670.01374275045236573 445026.02247818780597299),1392,Raadhuislaan,Buslijn 172 Zone 5320,Bus,3,3,1,2,2,0
Point (102013.01725716461078264 442324.04089096112875268),1393,Raadhuisplein,BOB-buslijn 1 Zone 5300,Bus,3,3,1,2,2,1
Point (89422.00698560441378504 448337.01534009486204013),1394,Raadhuisplein,BOB-buslijn 10 Zone 5300,Bus,4,3,2,4,3,1
Point (100140.02850944793317467 436487.03737709642155096),1395,Raadhuisplein,Buslijn 97 Zone 5322,Bus,4,3,2,4,3,1
Point (100169.02845893963240087 436501.03691545798210427),1396,Raadhuisplein,Buslijn 98 Zone 5322,Bus,6,5,3,6,4,2
Point (94569.00371905711654108 449840.02675942948553711),1397,Radonstraat,Buslijn 170 Zone 5441,Bus,8,8,6,8,8,6
Point (94591.00370329804718494 449846.02668975584674627),1398,Radonstraat,Buslijn 170 Zone 5441,Bus,8,8,6,8,8,6
Point (100609.03462071322428528 433029.03804876847425476),1399,Randweg,Buslijn 140 Zone 5334,Bus,12,11,8,11,11,6
Point (94651.03512291426886804 434259.02623546868562698),1400,Randweg,Buslijn 77 Zone 5314,Bus,4,2,1,4,2,1
Point (94643.03522964098374359 434206.02633510704617947),1401,Randweg,"Buslijn 77, Buslijn 66 Zone 5314",Bus,10,7,5,9,5,2
Point (94599.03516109821794089 434257.0266562391188927),1402,Randweg,"Tramlijn 2, Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.",Tram,9,9,6,8,8,6
Point (94605.03515685159072746 434256.02627056138589978),1403,Randweg,"Tramlijn 2, Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.",Tram,9,9,6,8,8,6
Point (94631.03514430880022701 434243.02591121615841985),1404,Randweg,"Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.",Tram,5,4,4,4,4,3
Point (94611.03509597167430911 434278.02580161934019998),1405,Randweg,"Tramlijn 20, Tramlijn 25 Zone 5314 Halte is rolstoeltoegankelijk.",Tram,5,4,4,4,4,3
Point (100871.03349671601608861 433571.0383387096808292),1406,Ravelstraat,Buslijn 144 Zone 5334,Bus,3,2,2,3,1,1
Point (100892.03337135419133119 433629.03813715657452121),1407,Ravelstraat,Buslijn 144 Zone 5334,Bus,3,2,2,3,1,1
Point (88463.03716272725432646 434661.01263286639004946),1408,RDM Campus,Buslijn 71 Zone 5316,Bus,7,5,4,6,5,3
Point (92762.0345079644175712 434987.02243833837565035),1409,Rechthuislaan,Buslijn 77 Zone 5314,Bus,4,2,1,4,2,1
Point (92734.03453237222856842 434975.02240647491998971),1410,Rechthuislaan,Buslijn 77 Zone 5314,Bus,4,2,1,4,2,1
Point (92451.0449466294812737 429996.02161297557177022),1411,Reesteijn,Buslijn 182 Zone 5314,Bus,5,4,3,4,3,1
Point (92386.04494247965340037 430043.0216085726278834),1412,Reesteijn,Buslijn 182 Zone 5328,Bus,5,4,3,4,3,1
Point (92667.01299035701958928 445384.02284587809117511),1413,Rehoboth,Buslijn 172 Zone 5320,Bus,3,3,1,2,2,0
Point (92689.0130385266529629 445362.02279923856258392),1414,Rehoboth,Buslijn 172 Zone 5320,Bus,3,3,1,2,2,0
